,c5,c119,c78,c80,c86,c77,c79,c81,c85,c87,c89,c91,c93,c95,c97,c99,c101,c103,c105,c107,c109,c131,c133,c135,c137,c146,c148,c150,c154,c161,c163,c183,c191,remark
943,19850711030619A,SOLO STUDENT ABORTED TAKEOFF DURING TOUCH AND GO  RAN OFF RUNWAY END INTO TREE  FAILED TO RETRACT FLAPS ,ME,V,TO,Fail/Incorrect Use M,Other/Miscellaneous ,Pilot-In-Command    ,Delay Action In Abor,Other/Miscellaneous ,Pilot-In-Command    ,                    ,Collision With Trees,To Aborted (Fixed Wi,                    ,Pilot Induced       ,Instruction         ,Training            ,VFR                 ,Weather Not A Factor,Day                 ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,UNDER 750 HP                  ,                    ,                    ,                    ,                    ,SOLO STUDENT ABORTED TAKEOFF DURING TOUCH AND GO  RAN OFF RUNWAY END INTO TREE  FAILED TO RETRACT FLAPS 
944,19850711030609A,"FUEL SIPHONED OUT OF TANK, LOOSE FUEL CAP  OUT OF FUEL  DURING LANDING, PUSHED TO SIDE OF ROAD BY WIND, HIT TREES ",II,E,DC,Inadequate Insp Of A,Emergency Landing   ,Pilot-In-Command    ,Failed To Correct Fo,Gusty Winds         ,Pilot-In-Command    ,                    ,Collision With Trees,Fcd/Prec Ldg From Cr,                    ,Pilot Induced       ,Personal            ,Pleasure            ,VFR                 ,Wind                ,Day                 ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,UNDER 750 HP                  ,                    ,                    ,                    ,Pilot and Ground Cre,"FUEL SIPHONED OUT OF TANK, LOOSE FUEL CAP  OUT OF FUEL  DURING LANDING, PUSHED TO SIDE OF ROAD BY WIND, HIT TREES "
945,19850713031179A,STRUCK TREES DURING GO AROUND AFTER AIRCRAFT SEEMED SLUGGISH  CARB HEAT NOT USED  SUSPECT PROPELLER IN CRUISE PITCH,ME,F,GA,Fail/Incorrect Use M,Fire After Crash    ,Pilot-In-Command    ,Delayed In Init/Goar,Other/Miscellaneous ,Pilot-In-Command    ,                    ,Collision With Trees,Go Round (Aborted VF,                    ,Pilot Induced       ,Instruction         ,Training            ,VFR                 ,Weather Not A Factor,Day                 ,Flight Personnel    ,Re-Examination/Re-In,                    ,                    ,UNDER 12501 LBS               ,KITE/SAILWING                 ,POWERED                       ,                              ,                    ,                    ,                    ,Pilot and Ground Cre,STRUCK TREES DURING GO AROUND AFTER AIRCRAFT SEEMED SLUGGISH  CARB HEAT NOT USED  SUSPECT PROPELLER IN CRUISE PITCH
946,19850727034409A,"POWER LEVERS PULLED INADVERTENTLY INTO REVERSE ON FINAL  TOUCHED DOWN SHORT, BOUNCED, LANDED HARD  GEAR COLLAPSED ",ME,V,US,Fail/Incorrect Use M,Other/Miscellaneous ,Pilot-In-Command    ,Landed Short,Other/Miscellaneous ,Pilot-In-Command    ,                    ,Hard Landing        ,Level Off Touchdown,                    ,Pilot Induced       ,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Day                 ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,UNDER 750 HP                  ,                    ,                    ,                    ,                    ,"POWER LEVERS PULLED INADVERTENTLY INTO REVERSE ON FINAL  TOUCHED DOWN SHORT, BOUNCED, LANDED HARD  GEAR COLLAPSED "
947,19850625027899A,PLEXIGLASS CANOPY UNLATCHED ON TAKEOFF  LOST CONTROL TRYING TO LATCH CANOPY  STRUCK A PARKED AIRCRAFT AND A TRUCK ,II,V,IO,Inadequate Insp Of A,Other/Miscellaneous ,Pilot-In-Command    ,Improper Oper Flt Cn,Other/Miscellaneous ,Pilot-In-Command    ,                    ,Collision With Other,To Init Climb(1st Pw,                    ,Pilot Induced       ,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Day                 ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-MID WING            ,POWERED                       ,UNDER 750 HP                  ,                    ,                    ,                    ,                    ,PLEXIGLASS CANOPY UNLATCHED ON TAKEOFF  LOST CONTROL TRYING TO LATCH CANOPY  STRUCK A PARKED AIRCRAFT AND A TRUCK 
948,19850820039639A,ENGINE LOST POWER DURING INITIAL CLIMB AND STRUCK TREES DURING DESCENT  FUEL SELECTOR ON EMPTY TANK ,II,E,FT,Inadequate Insp Of A,Emergency Landing   ,Pilot-In-Command    ,Improper Mgt/Fuel Ta,Emergency Landing   ,Pilot-In-Command    ,                    ,Collision With Trees,Forced/Precautionary,                    ,Pilot Induced       ,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Day                 ,Flight Personnel    ,Violation           ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,UNDER 750 HP                  ,                    ,                    ,                    ,                    ,ENGINE LOST POWER DURING INITIAL CLIMB AND STRUCK TREES DURING DESCENT  FUEL SELECTOR ON EMPTY TANK 
949,19850611023949A,"LOST HYDRAULIC PRESSURE, LOW FLUID QUANTITY  LOST BRAKES ON NO FLAP LANDING BY PUMPING BRAKES  OVERSHOT THE RUNWAY ",II,O,EQ,Inadequate Insp Of A,Precautionary Landin,Pilot-In-Command    ,Improper Operation E,Precautionary Landin,Pilot-In-Command    ,                    ,Overshoot Landing   ,Roll-Out (Fixed Wing,                    ,Pilot Induced       ,Other               ,Ferry               ,IFR                 ,Low Ceiling         ,Day                 ,Other               ,Not Reported        ,                    ,                    ,OVER 12500 LBS                ,MONOPLANE-MID WING            ,POWERED                       ,750 HP AND OVER               ,                    ,                    ,                    ,                    ,"LOST HYDRAULIC PRESSURE, LOW FLUID QUANTITY  LOST BRAKES ON NO FLAP LANDING BY PUMPING BRAKES  OVERSHOT THE RUNWAY "
950,19850808059739I,AIRCRAFT TOOK OFF WITH TIEDOWN CHAIN AND CEMENT BLOCK ATTACHED TO LEFT WING  TIE DOWN RING BROKE DROPPING BLOCK ,II,V,PS,Inadequate Insp Of A,Other/Miscellaneous ,Pilot-In-Command    ,Inadequate Flt/Super,Other/Miscellaneous ,Pilot-In-Command    ,                    ,Other-Miscellaneous ,To Init Climb(1st Pw,                    ,Pilot Induced       ,Instruction         ,Training            ,VFR                 ,Weather Not A Factor,Day                 ,None                ,None                ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,Unscheduled Landing ,                    ,                    ,                    ,AIRCRAFT TOOK OFF WITH TIEDOWN CHAIN AND CEMENT BLOCK ATTACHED TO LEFT WING  TIE DOWN RING BROKE DROPPING BLOCK 
951,19851229066289A,AIRCRAFT DRIFTED ON GO AROUND WITH FLAPS AT 25 DEGREES   STRUCK A WATER TANK AND IMPACTED THE GROUND ,ME,5,DC,Fail/Incorrect Use M,Gusty Winds         ,Pilot-In-Command    ,Failed To Correct Fo,Gusty Winds         ,Pilot-In-Command    ,                    ,Collision With Other,Go Round (Aborted VF,                    ,Pilot Induced       ,Personal            ,Pleasure            ,VFR                 ,Wind                ,Day                 ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,UNDER 750 HP                  ,                    ,                    ,                    ,                    ,AIRCRAFT DRIFTED ON GO AROUND WITH FLAPS AT 25 DEGREES   STRUCK A WATER TANK AND IMPACTED THE GROUND 
952,19851010054789A,"LIFTED OFF TOO SOON, FORGOT TO RETRACT FLAPS  RETRACTED FLAPS, SETTLED TO RUNWAY  VEERED OFF RUNWAY SIDE, HIT TREE ",ME,V,GC,Fail/Incorrect Use M,Other/Miscellaneous ,Pilot-In-Command    ,Improper Oper Brake/,Other/Miscellaneous ,Pilot-In-Command    ,                    ,Loss Of Dir Ctl-Grnd,Touch And Go Landing,                    ,Pilot Induced       ,Personal            ,Military Club       ,VFR                 ,Weather Not A Factor,Day                 ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,UNDER 750 HP                  ,Off Side Of Runway  ,                    ,                    ,                    ,"LIFTED OFF TOO SOON, FORGOT TO RETRACT FLAPS  RETRACTED FLAPS, SETTLED TO RUNWAY  VEERED OFF RUNWAY SIDE, HIT TREE "
953,19851024060609I,MAIN REAR BAGGAGE DOOR OPENED AFTER ROTATION  BAGGAGE DOOR HANDLE WAS NOT ENGAGED PROPERLY ,II,O,  ,Inadequate Insp Of A,Precautionary Landin,Pilot-In-Command    ,,                    ,                    ,                    ,Other-Miscellaneous ,To Init Climb(1st Pw,                    ,Pilot Induced       ,A/T Com (Sched 5/Mor,Passengers          ,VFR                 ,Weather Not A Factor,Day                 ,Op & FAA St Policies,Recommend Gen Change,                    ,                    ,OVER 12500 LBS                ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,Unscheduled Landing ,                    ,                    ,                    ,MAIN REAR BAGGAGE DOOR OPENED AFTER ROTATION  BAGGAGE DOOR HANDLE WAS NOT ENGAGED PROPERLY 
954,19851229063869A,OIL STREAMED OUT OF ENGINE AFTER TAKEOFF  OTHER AIRCRAFT ON RUNWAY  LANDED GEAR UP OFF AIRPORT  OIL DIPSTICK LOOSE ,II,O,FP,Inadequate Insp Of A,Precautionary Landin,Pilot-In-Command    ,Fail Follow Approved,Fire After Crash    ,Pilot-In-Command    ,                    ,Control Coll With Gr,Forced/Precautionary,                    ,Pilot Induced       ,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Day                 ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,UNDER 750 HP                  ,Runway Blocked      ,                    ,                    ,Pilot and Ground Cre,OIL STREAMED OUT OF ENGINE AFTER TAKEOFF  OTHER AIRCRAFT ON RUNWAY  LANDED GEAR UP OFF AIRPORT  OIL DIPSTICK LOOSE 
955,19851029054409A,"FAILED TO VISUALLY CHECK FUEL QUANTITY IN THE TANKS   LOST POWER ON TAKEOFF, HIT A TREE AND CARTWHEELED TO GROUND ",II,E,PF,Inadequate Insp Of A,Emergency Landing   ,Pilot-In-Command    ,Poor Preflight Plan,Emergency Landing   ,Pilot-In-Command    ,                    ,Collision With Trees,To Init Climb(1st Pw,                    ,Pilot Induced       ,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Night               ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,UNDER 750 HP                  ,                    ,                    ,                    ,                    ,"FAILED TO VISUALLY CHECK FUEL QUANTITY IN THE TANKS   LOST POWER ON TAKEOFF, HIT A TREE AND CARTWHEELED TO GROUND "
956,19850929055389I,DROP IN ENGINE POWER WITH BACKFIRING  LANDED IN SURF AFTER DROPPING BANNER  NO OIL IN ENGINE ,II,O,  ,Inadequate Insp Of A,Precautionary Landin,Pilot-In-Command    ,,                    ,                    ,                    ,Engine Malfunction  ,Fcd/Prec Ldg From Cr,                    ,Pilot Induced       ,Industrial/Special  ,None Or Other       ,VFR                 ,Weather Not A Factor,Day                 ,Flight Personnel    ,Violation           ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,UNDER 750 HP                  ,                    ,                    ,                    ,                    ,DROP IN ENGINE POWER WITH BACKFIRING  LANDED IN SURF AFTER DROPPING BANNER  NO OIL IN ENGINE 
957,19851018075929A,"STRUCK DIRT BANK, FLIPPED OVER ON APPROACH TO FIELD AFTER ENGINE POWER LOSS   DID NOT DRAIN FUEL SUMP, FROZEN SHUT ",II,E,28,Inadequate Insp Of A,Emergency Landing   ,Pilot-In-Command    ,,                    ,                    ,                    ,Collision With Other,Fcd/Prec Ldg From Cr,                    ,Pilot Induced       ,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Day                 ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,UNDER 750 HP                  ,                    ,                    ,Pilot and Ground Cre,                    ,"STRUCK DIRT BANK, FLIPPED OVER ON APPROACH TO FIELD AFTER ENGINE POWER LOSS   DID NOT DRAIN FUEL SUMP, FROZEN SHUT "
958,19851020075599A,"ELEVATOR TRIM SET NOSE HIGH   UNINTENTIONAL LIFTOFF, TOUCHDOWN, VEER OFF RUNWAY SIDE  HIT TREES THEN RAN INTO DITCH",ME,F,PL,Fail/Incorrect Use M,Fire After Crash    ,Pilot-In-Command    ,Early Liftoff/Int/Te,Other/Miscellaneous ,Pilot-In-Command    ,                    ,Collision With Trees,Takeoff Ground Roll,                    ,Pilot Induced       ,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Day                 ,Flight Personnel    ,Violation           ,Flight Personnel    ,Re-Examination/Re-In,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,UNDER 750 HP                  ,                    ,                    ,                    ,                    ,"ELEVATOR TRIM SET NOSE HIGH   UNINTENTIONAL LIFTOFF, TOUCHDOWN, VEER OFF RUNWAY SIDE  HIT TREES THEN RAN INTO DITCH"
959,19851221063349A,ATTEMPTED TO LATCH DOOR WHILE LIFTING OFF  ONE SKID CAUGHT IN DIRT AND AIRCRAFT ROLLED OVER ,II,V,IO,Inadequate Insp Of A,Other/Miscellaneous ,Pilot-In-Command    ,Improper Oper Flt Cn,Other/Miscellaneous ,Pilot-In-Command    ,                    ,Nose Up Or Over     ,To Vertical (Helicop,                    ,Pilot Induced       ,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Day                 ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,ROTARY WING-HELI/GYROCOPTER   ,POWERED                       ,UNDER 750 HP                  ,                    ,                    ,Pilot and Ground Cre,                    ,ATTEMPTED TO LATCH DOOR WHILE LIFTING OFF  ONE SKID CAUGHT IN DIRT AND AIRCRAFT ROLLED OVER 
960,19851019052799A,ENGINE QUIT AFTER TAKEOFF  LANDED ON GOLF COURSE WHERE AIRCRAFT FLIPPED OVER  WATER IN GASCOLATOR AND CARBURETOR ,II,E,73,Inadequate Insp Of A,Emergency Landing   ,Pilot-In-Command    ,,                    ,                    ,                    ,Nose Up Or Over     ,Forced/Precautionary,                    ,Pilot And Maintenanc,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Day                 ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,UNDER 750 HP                  ,                    ,                    ,                    ,                    ,ENGINE QUIT AFTER TAKEOFF  LANDED ON GOLF COURSE WHERE AIRCRAFT FLIPPED OVER  WATER IN GASCOLATOR AND CARBURETOR 
